'may 20 2034', '2034-05-20'
'17 september 1580', '1580-09-17'
'04/10/1558', '1558-10-04'
'2 july 1655', '1655-07-02'
'april 14 1946', '1946-04-14'
'monday 1986 10 03', '1986-03-10'
'mar 17 1701', '1701-03-17'
'april 24 1644', '1644-04-24'
'august 8 1858', '1858-08-08'
'tue 22 jan 1828', '1828-01-22'
'9 august 1903', '1903-08-09'
'1574 9 mar', '1574-03-09'
'7/6/48', '1648-07-06'
'1 june 1715', '1715-06-01'
'thu 4 may 1730', '1730-05-04'
'may 19 1836', '1836-05-19'
'2017 22 june', '2017-06-22'
'january 8 1818', '1818-01-08'
'friday 8 august 2042', '2042-08-08'
'18 january 1684', '1684-01-18'
'november 1 1908', '1908-11-01'
'february 13 1829', '1829-02-13'
'june 18 1747', '1747-06-18'
'fri 18 feb 1825', '1825-02-18'
'25 october 1652', '1652-10-25'
'march 21 1770', '1770-03-21'
'august 18 1985', '1985-08-18'
'18 april 1526', '1526-04-18'
'wednesday march 18 1592', '1592-03-18'
'25 october 1576', '1576-10-25'
'1595 22 mar', '1595-03-22'
'may 29 1756', '1756-05-29'
'jul 29 2011', '2011-07-29'
'13 february 1869', '1869-02-13'
'tuesday december 23 1659', '1659-12-23'
'june 16 1721', '1721-06-16'
'july 22 1530', '1530-07-22'
'monday april 2 1984', '1984-04-02'
'mon 18 aug 1608', '1608-08-18'
'april 2 2047', '2047-04-02'
'october 5 2029', '2029-10-05'
'22 february 1893', '1893-02-22'
'october 3 1558', '1558-10-03'
'3 april 1776', '1776-04-03'
'june 5 1836', '1836-06-05'
'tuesday august 28 1708', '1708-08-28'
'1948 22 june', '1948-06-22'
'11 november 1560', '1560-11-11'
'february 8 1825', '1825-02-08'
'15 november 1709', '1709-11-15'
'june 13 2051', '2051-06-13'
'september 7 1963', '1963-09-07'
'april 4 1907', '1907-04-04'
'friday 23 may 2025', '2025-05-23'
'30 jan 1755', '1755-01-30'
'nov 24 1525', '1525-11-24'
'march 21 1581', '1581-03-21'
'tuesday february 17 1525', '1525-02-17'
'march 8 1523', '1523-03-08'
'30/06/2007', '2007-06-30'
'december 30 1574', '1574-12-30'
'jun 20 1704', '1704-06-20'
'monday 1871 5 06', '1871-06-05'
'27/11/1778', '1778-11-27'
'saturday 1956 18 08', '1956-08-18'
'march 20 1715', '1715-03-20'
'10 june 1551', '1551-06-10'
'dec 22 1546', '1546-12-22'
'mon 1702 2 october', '1702-10-02'
'september 29 1819', '1819-09-29'
'dec 4 1753', '1753-12-04'
'5/31/44', '1944-05-31'
'1746 17 nov', '1746-11-17'
'thu 5 sep 1822', '1822-09-05'
'february 26 1812', '1812-02-26'
'may 6 1708', '1708-05-06'
'7/3/74', '1974-07-03'
'august 17 1956', '1956-08-17'
'jul 5 1969', '1969-07-05'
'october 14 1939', '1939-10-14'
'24 may 2002', '2002-05-24'
'24 july 1824', '1824-07-24'
'april 23 1812', '1812-04-23'
'april 22 1748', '1748-04-22'
'6/23/53', '1553-06-23'
'4 august 1961', '1961-08-04'
'september 14 1840', '1840-09-14'
'mon 1751 12 july', '1751-07-12'
'oct 13 1704', '1704-10-13'
'april 28 1652', '1652-04-28'
'monday 1959 23 11', '1959-11-23'
'june 3 1671', '1671-06-03'
'wednesday 1973 21 03', '1973-03-21'
'oct 6 1709', '1709-10-06'
'april 10 1608', '1608-04-10'
'1762 21 june', '1762-06-21'
'21 august 1526', '1526-08-21'
'apr 22 1596', '1596-04-22'
'friday march 20 2054', '2054-03-20'
'monday 1890 18 08', '1890-08-18'
'thursday 19 june 1631', '1631-06-19'
'friday 3 october 1851', '1851-10-03'
'15 december 1771', '1771-12-15'
'thursday september 18 1710', '1710-09-18'
'1786 28 march', '1786-03-28'
'9 june 1712', '1712-06-09'
'1539 16 nov', '1539-11-16'
'apr 3 1536', '1536-04-03'
'24/04/1798', '1798-04-24'
'15 august 1655', '1655-08-15'
'14 september 1577', '1577-09-14'
'june 15 1622', '1622-06-15'
'1 july 1877', '1877-07-01'
'feb 7 1807', '1807-02-07'
'26 august 1974', '1974-08-26'
'may 4 1561', '1561-05-04'
'1748 19 may', '1748-05-19'
'19 oct 1754', '1754-10-19'
'18 april 1541', '1541-04-18'
'november 1 1596', '1596-11-01'
'02/10/1698', '1698-10-02'
'sunday january 31 1779', '1779-01-31'
'sep 18 1849', '1849-09-18'
'mon 1921 18 april', '1921-04-18'
'mon 17 oct 1988', '1988-10-17'
'monday november 16 1953', '1953-11-16'
'mon 25 apr 1791', '1791-04-25'
'09/10/1646', '1646-10-09'
'aug 28 1726', '1726-08-28'
'jun 11 1739', '1739-06-11'
'feb 25 1869', '1869-02-25'
'february 1 2056', '2056-02-01'
'jun 3 1617', '1617-06-03'
'1667 10 dec', '1667-12-10'
'1684 4 dec', '1684-12-04'
'4/18/50', '1650-04-18'
'friday june 11 2010', '2010-06-11'
'september 14 1671', '1671-09-14'
'april 13 1596', '1596-04-13'
'november 17 1525', '1525-11-17'
'tuesday april 12 2061', '2061-04-12'
'11 january 1983', '1983-01-11'
'6 february 1738', '1738-02-06'
'dec 29 1992', '1992-12-29'
'7 oct 1887', '1887-10-07'
'april 2 1808', '1808-04-02'
'1 december 1836', '1836-12-01'
'sunday 22 february 1953', '1953-02-22'
'may 11 1835', '1835-05-11'
'1576 2 september', '1576-09-02'
'29/11/1959', '1959-11-29'
'dec 31 1676', '1676-12-31'
'jan 8 1749', '1749-01-08'
'1992 23 jan', '1992-01-23'
'february 20 1816', '1816-02-20'
'october 29 1922', '1922-10-29'
'thursday february 10 1633', '1633-02-10'
'monday may 25 1705', '1705-05-25'
'jun 4 1698', '1698-06-04'
'10/18/56', '2056-10-18'
'sat 27 oct 1646', '1646-10-27'
'27/11/1958', '1958-11-27'
'20 january 1658', '1658-01-20'
'monday 6 october 1800', '1800-10-06'
'july 26 1930', '1930-07-26'
'23 august 1977', '1977-08-23'
'1832 4 dec', '1832-12-04'
'thursday august 9 1573', '1573-08-09'
'march 12 1547', '1547-03-12'
'may 24 1636', '1636-05-24'
'sat 1891 14 november', '1891-11-14'
'may 8 2050', '2050-05-08'
'october 19 1570', '1570-10-19'
'march 10 1531', '1531-03-10'
'aug 22 1740', '1740-08-22'
'jul 22 2018', '2018-07-22'
'4/20/47', '2047-04-20'
'10/22/17', '2017-10-22'
'1751 22 aug', '1751-08-22'
'5/2/47', '1947-05-02'
'31 august 1656', '1656-08-31'
'november 21 2028', '2028-11-21'
'oct 21 1747', '1747-10-21'
'1 april 1843', '1843-04-01'
'nov 12 1929', '1929-11-12'
'1677 18 jun', '1677-06-18'
'15/11/1528', '1528-11-15'
'friday june 18 1847', '1847-06-18'
'12 july 1759', '1759-07-12'
'friday october 11 1630', '1630-10-11'
'december 16 1794', '1794-12-16'
'1 april 1893', '1893-04-01'
'12/18/34', '1534-12-18'
'may 15 1880', '1880-05-15'
'8 march 2025', '2025-03-08'
'8 april 2014', '2014-04-08'
'mon 2 mar 2037', '2037-03-02'
'july 8 1681', '1681-07-08'
'6 april 1974', '1974-04-06'
'24 january 1619', '1619-01-24'
'december 15 1833', '1833-12-15'
'27 april 1559', '1559-04-27'
'tuesday june 23 1795', '1795-06-23'
'tuesday november 9 1897', '1897-11-09'
'16 february 1556', '1556-02-16'
'sat 1575 8 february', '1575-02-08'
'23 october 1723', '1723-10-23'
'aug 29 1815', '1815-08-29'
'tuesday december 20 1774', '1774-12-20'
'thursday december 21 1606', '1606-12-21'
'15 aug 1629', '1629-08-15'
'1674 27 aug', '1674-08-27'
'february 19 2024', '2024-02-19'
'1726 14 nov', '1726-11-14'
'3 april 1960', '1960-04-03'
'24/05/1970', '1970-05-24'
'sun 1718 23 january', '1718-01-23'
'14 june 1762', '1762-06-14'
'tuesday 7 december 1751', '1751-12-07'
'27 october 1955', '1955-10-27'
'october 8 2033', '2033-10-08'
'28 january 1835', '1835-01-28'
'28/10/1785', '1785-10-28'
'sunday 1631 3 08', '1631-08-03'
'monday 3 july 1645', '1645-07-03'
'27 march 1805', '1805-03-27'
'saturday 28 july 1714', '1714-07-28'
'thursday july 18 1833', '1833-07-18'
'jan 16 1874', '1874-01-16'
'october 2 2007', '2007-10-02'
'december 16 1881', '1881-12-16'
'30 nov 1771', '1771-11-30'
'mar 14 1610', '1610-03-14'
'apr 11 1684', '1684-04-11'
'29 march 1717', '1717-03-29'
'1711 30 july', '1711-07-30'
'april 7 1879', '1879-04-07'
'wednesday june 17 1744', '1744-06-17'
'saturday april 13 1546', '1546-04-13'
'2 may 1621', '1621-05-02'
'monday august 21 1922', '1922-08-21'
'june 11 2012', '2012-06-11'
'21 september 1741', '1741-09-21'
'august 26 1578', '1578-08-26'
'thu 9 may 1652', '1652-05-09'
'1879 9 april', '1879-04-09'
'fri 1592 10 january', '1592-01-10'
'october 27 2017', '2017-10-27'
'wednesday february 18 2009', '2009-02-18'
'june 23 2006', '2006-06-23'
'wednesday january 28 1570', '1570-01-28'
'sep 22 2011', '2011-09-22'
'wed 1788 17 december', '1788-12-17'
'8/15/53', '1653-08-15'
'3/22/76', '1776-03-22'
'4 mar 1819', '1819-03-04'
'wed 23 mar 1622', '1622-03-23'
'october 20 1825', '1825-10-20'
'1 january 1585', '1585-01-01'
'april 24 1952', '1952-04-24'
'monday march 27 1595', '1595-03-27'
'november 22 1707', '1707-11-22'
'fri 4 nov 1549', '1549-11-04'
'january 21 1723', '1723-01-21'
'may 1 2039', '2039-05-01'
'25 june 1917', '1917-06-25'
'tuesday 1885 6 01', '1885-01-06'
'oct 16 1819', '1819-10-16'
'24 june 1610', '1610-06-24'
'24 october 1982', '1982-10-24'
'feb 10 1909', '1909-02-10'
'mon 2 dec 1743', '1743-12-02'
'monday march 2 1722', '1722-03-02'
'dec 27 2025', '2025-12-27'
'30 oct 1805', '1805-10-30'
'mon 1548 26 july', '1548-07-26'
'23 oct 1825', '1825-10-23'
'30 july 2028', '2028-07-30'
'august 21 1853', '1853-08-21'
'16 march 1838', '1838-03-16'
'march 14 1735', '1735-03-14'
'sunday july 6 1783', '1783-07-06'
'apr 19 1915', '1915-04-19'
'11/6/30', '1730-11-06'
'august 10 1798', '1798-08-10'
'wed 1948 1 december', '1948-12-01'
'september 18 1552', '1552-09-18'
'mon 2 dec 1861', '1861-12-02'
'july 31 1938', '1938-07-31'
'thursday february 10 2000', '2000-02-10'
'sunday december 6 1676', '1676-12-06'
'tue 11 nov 1755', '1755-11-11'
'28 jan 1819', '1819-01-28'
'october 7 1944', '1944-10-07'
'18 dec 1894', '1894-12-18'
'17 may 1921', '1921-05-17'
'21 may 1825', '1825-05-21'
'23 october 1828', '1828-10-23'
'3 september 1618', '1618-09-03'
'4 november 1567', '1567-11-04'
'september 7 1577', '1577-09-07'
'sunday august 30 1925', '1925-08-30'
'jul 28 1691', '1691-07-28'
'5 october 1665', '1665-10-05'
'6 november 1998', '1998-11-06'
'monday august 4 1608', '1608-08-04'
'3/3/75', '1875-03-03'
'sep 29 1847', '1847-09-29'
'may 21 2027', '2027-05-21'
'1765 25 sep', '1765-09-25'
'march 29 1989', '1989-03-29'
'29 dec 1798', '1798-12-29'
'october 2 1897', '1897-10-02'
'fri 14 dec 1607', '1607-12-14'
'wednesday september 6 1815', '1815-09-06'
'sep 24 1582', '1582-09-24'
'wednesday october 17 1601', '1601-10-17'
'10 august 1771', '1771-08-10'
'december 6 2014', '2014-12-06'
'2056 9 november', '2056-11-09'
'2011 17 may', '2011-05-17'
'20 december 2039', '2039-12-20'
'friday 1605 18 11', '1605-11-18'
'5 february 1711', '1711-02-05'
'sunday december 6 1654', '1654-12-06'
'3/17/59', '1759-03-17'
'thursday march 27 1569', '1569-03-27'
'wednesday march 13 1889', '1889-03-13'
'wed 15 may 1985', '1985-05-15'
'september 18 1553', '1553-09-18'
'6 march 2025', '2025-03-06'
'monday 13 may 2069', '2069-05-13'
'28 february 2032', '2032-02-28'
'may 27 1568', '1568-05-27'
'sat 9 nov 1895', '1895-11-09'
'thursday 24 january 1608', '1608-01-24'
'03/03/1930', '1930-03-03'
'dec 29 1588', '1588-12-29'
'1881 21 january', '1881-01-21'
'mar 12 1668', '1668-03-12'
'1729 10 february', '1729-02-10'
'2 jun 1714', '1714-06-02'
'1654 22 apr', '1654-04-22'
'mon 1552 31 march', '1552-03-31'
'1/12/96', '1796-01-12'
'25 january 1736', '1736-01-25'
'monday february 28 1938', '1938-02-28'
'wed 1591 9 january', '1591-01-09'
'january 8 1584', '1584-01-08'
'may 11 1880', '1880-05-11'
'29 november 1748', '1748-11-29'
'3/16/59', '1759-03-16'
'1772 3 january', '1773-01-03'
'wednesday august 18 1728', '1728-08-18'
'friday april 7 2062', '2062-04-07'
'jan 7 1530', '1530-01-07'
'14 july 1683', '1683-07-14'
'29/01/1869', '1869-01-29'
'mar 31 2050', '2050-03-31'
'thursday 1713 13 04', '1713-04-13'
'1821 10 june', '1821-06-10'
'7/19/24', '1724-07-19'
'1742 26 may', '1742-05-26'
'dec 6 1968', '1968-12-06'
'saturday 1626 23 05', '1626-05-23'
'11 february 1688', '1688-02-11'
'monday december 24 2057', '2057-12-24'
'sat 1741 12 august', '1741-08-12'
'16 jun 1714', '1714-06-16'
'2024 20 october', '2024-10-20'
'wednesday november 8 1634', '1634-11-08'
'1554 16 september', '1554-09-16'
'friday june 26 1914', '1914-06-26'
'june 30 1657', '1657-06-30'
'27 march 1557', '1557-03-27'
'march 22 2068', '2068-03-22'
'feb 28 1561', '1561-02-28'
'saturday 2017 11 11', '2017-11-11'
'may 6 1635', '1635-05-06'
'february 25 1898', '1898-02-25'
'nov 13 2042', '2042-11-13'
'1978 29 sep', '1978-09-29'
'2009 17 october', '2009-10-17'
'12 may 1564', '1564-05-12'
'thursday december 9 1694', '1694-12-09'
'september 24 1777', '1777-09-24'
'thu 16 apr 1891', '1891-04-16'
'sun 9 dec 1556', '1556-12-09'
'aug 22 2062', '2062-08-22'
'sun 20 apr 1631', '1631-04-20'
'28 april 1980', '1980-04-28'
'friday 20 january 1730', '1730-01-20'
'06/01/1571', '1571-01-06'
'september 21 1859', '1859-09-21'
'1532 16 jun', '1532-06-16'
'2026 2 mar', '2026-03-02'
'19 november 2022', '2022-11-19'
'october 21 1841', '1841-10-21'
'1995 26 dec', '1995-12-26'
'fri 1879 28 february', '1879-02-28'
'sunday 2069 17 03', '2069-03-17'
'september 6 1544', '1544-09-06'
'april 30 1688', '1688-04-30'
'26 oct 1660', '1660-10-26'
'saturday february 28 1818', '1818-02-28'
'friday september 16 2022', '2022-09-16'
'september 2 1727', '1727-09-02'
'wednesday 1958 22 10', '1958-10-22'
'july 22 1569', '1569-07-22'
'june 22 1707', '1707-06-22'
'9/25/27', '1527-09-25'
'march 9 1975', '1975-03-09'
'aug 3 1581', '1581-08-03'
'october 19 1925', '1925-10-19'
'june 20 1983', '1983-06-20'
'14 jul 2059', '2059-07-14'
'19 september 1777', '1777-09-19'
'nov 14 1846', '1846-11-14'
'july 17 1531', '1531-07-17'
'december 16 1675', '1675-12-16'
'24 january 1874', '1874-01-24'
'28 september 1774', '1774-09-28'
'may 30 1944', '1944-05-30'
'sun 5 dec 2049', '2049-12-05'
'30/01/1676', '1676-01-30'
'friday may 28 1982', '1982-05-28'
'saturday 1849 17 02', '1849-02-17'
'november 2 1732', '1732-11-02'
'1673 28 sep', '1673-09-28'
'thursday january 24 1856', '1856-01-24'
'december 7 1835', '1835-12-07'
'wed 1603 2 april', '1603-04-02'
'23/04/1928', '1928-04-23'
'april 11 1710', '1710-04-11'
'12/09/1803', '1803-09-12'
'may 22 1710', '1710-05-22'
'september 18 1642', '1642-09-18'
'sun 1617 5 march', '1617-03-05'
'april 24 2015', '2015-04-24'
'april 28 1523', '1523-04-28'
'tue 16 feb 1649', '1649-02-16'
'31 december 2005', '2005-12-31'
'1770 17 dec', '1770-12-17'
'monday 1900 30 04', '1900-04-30'
'4 may 1820', '1820-05-04'
'january 28 1617', '1617-01-28'
'dec 24 1782', '1782-12-24'
'1524 22 april', '1524-04-22'
'13 august 1652', '1652-08-13'
'21 may 1876', '1876-05-21'
'10/09/1734', '1734-09-10'
'saturday 16 august 1721', '1721-08-16'
'monday 11 november 1822', '1822-11-11'
'mon 25 apr 1532', '1532-04-25'
'december 22 1697', '1697-12-22'
'november 16 1588', '1588-11-16'
'jan 30 1598', '1598-01-30'
'april 3 1873', '1873-04-03'
'4 september 2046', '2046-09-04'
'1 january 1621', '1622-01-01'
'january 23 1561', '1561-01-23'
'march 20 1600', '1600-03-20'
'12 april 2011', '2011-04-12'
'12/08/1816', '1816-08-12'
'mon 1906 23 april', '1906-04-23'
'sep 17 1797', '1797-09-17'
'dec 4 1688', '1688-12-04'
'february 23 1779', '1779-02-23'
'dec 13 1680', '1680-12-13'
'monday september 7 1626', '1626-09-07'
'10/8/80', '1880-10-08'
'1630 18 june', '1630-06-18'
'november 17 1738', '1738-11-17'
'23 december 1561', '1561-12-23'
'22 jan 2039', '2039-01-22'
'16/03/1992', '1992-03-16'
'24 january 1582', '1582-01-24'
'1530 24 sep', '1530-09-24'
'jan 8 1681', '1681-01-08'
'thu 24 jun 1582', '1582-06-24'
'december 5 1668', '1668-12-05'
'apr 28 1594', '1594-04-28'
'22/03/1933', '1933-03-22'
'16/06/1582', '1582-06-16'
'22 december 1548', '1548-12-22'
'september 24 1537', '1537-09-24'
'22 november 1793', '1793-11-22'
'12 march 1896', '1896-03-12'
'tuesday april 15 1608', '1608-04-15'
'11 nov 1770', '1770-11-11'
'6/16/95', '1895-06-16'
'monday november 15 1926', '1926-11-15'
'sat 1583 18 june', '1583-06-18'
'september 1 1848', '1848-09-01'
'8 january 2013', '2013-01-08'
'tuesday 30 january 1827', '1827-01-30'
'august 13 2048', '2048-08-13'
'may 22 1645', '1645-05-22'
'11 feb 1611', '1611-02-11'
'saturday july 15 1606', '1606-07-15'
'october 15 1795', '1795-10-15'
'feb 11 1760', '1760-02-11'
'april 30 1950', '1950-04-30'
'sunday june 2 1822', '1822-06-02'
'4 may 1832', '1832-05-04'
'monday 28 march 1842', '1842-03-28'
'30 apr 2008', '2008-04-30'
'sep 7 1637', '1637-09-07'
'saturday 1604 10 07', '1604-07-10'
'friday 2036 18 04', '2036-04-18'
'dec 21 1997', '1997-12-21'
'22 september 2024', '2024-09-22'
'thursday october 17 1720', '1720-10-17'
'friday february 4 1870', '1870-02-04'
'april 18 1805', '1805-04-18'
'february 14 2028', '2028-02-14'
'wednesday november 21 1866', '1866-11-21'
'april 23 1771', '1771-04-23'
'jul 29 1575', '1575-07-29'
'february 24 1955', '1955-02-24'
'september 2 1573', '1573-09-02'
'may 14 1889', '1889-05-14'
'march 8 1748', '1748-03-08'
'1779 18 october', '1779-10-18'
'27/12/1836', '1836-12-27'
'wed 31 mar 1548', '1548-03-31'
'5 august 1663', '1663-08-05'
'oct 11 2066', '2066-10-11'
'1914 27 september', '1914-09-27'
'thursday july 5 1674', '1674-07-05'
'sun 1541 17 august', '1541-08-17'
'sat 23 oct 1756', '1756-10-23'
'5/13/62', '1562-05-13'
'saturday june 26 1593', '1593-06-26'
'monday 7 may 1534', '1534-05-07'
'october 28 1713', '1713-10-28'
'sunday january 11 1835', '1835-01-11'
'december 15 1728', '1728-12-15'
'feb 22 1758', '1758-02-22'
'2016 17 march', '2016-03-17'
'july 14 1898', '1898-07-14'
'thursday october 26 1944', '1944-10-26'
'tuesday july 18 1623', '1623-07-18'
'sat 7 jan 2006', '2006-01-07'
'9 april 1607', '1607-04-09'
'july 12 1943', '1943-07-12'
'saturday 26 november 1588', '1588-11-26'
'24 may 1766', '1766-05-24'
'22 may 1696', '1696-05-22'
'1932 3 sep', '1932-09-03'
'feb 28 1570', '1570-02-28'
'26 august 1928', '1928-08-26'
'thu 23 apr 1959', '1959-04-23'
'october 9 1635', '1635-10-09'
'11/27/32', '1932-11-27'
'december 4 1712', '1712-12-04'
'saturday august 10 1596', '1596-08-10'
'friday march 27 1722', '1722-03-27'
'mon 4 jan 1892', '1892-01-04'
'21 may 1886', '1886-05-21'
'october 15 1554', '1554-10-15'
'15 june 2058', '2058-06-15'
'thu 1603 16 january', '1603-01-16'
'saturday 23 november 1889', '1889-11-23'
'april 22 1831', '1831-04-22'
'march 28 1546', '1546-03-28'
'february 9 1609', '1609-02-09'
'oct 3 2017', '2017-10-03'
'february 8 1969', '1969-02-08'
'oct 30 2005', '2005-10-30'
'mar 31 1722', '1722-03-31'
'2070 9 august', '2070-08-09'
'may 30 1886', '1886-05-30'
'march 23 1990', '1990-03-23'
'july 5 1589', '1589-07-05'
'18/01/1868', '1868-01-18'
'october 29 1682', '1682-10-29'
'1 december 2025', '2025-12-01'
'friday april 15 1831', '1831-04-15'
'jul 16 1577', '1577-07-16'
'may 26 1992', '1992-05-26'
'january 13 1624', '1624-01-13'
'21/06/1662', '1662-06-21'
'november 19 1850', '1850-11-19'
'1944 8 october', '1944-10-08'
'7/25/62', '1562-07-25'
'26/10/1552', '1552-10-26'
'june 10 1786', '1786-06-10'
'saturday 31 december 1881', '1881-12-31'
'10/06/1661', '1661-06-10'
'january 1 1826', '1826-01-01'
'saturday 20 september 1783', '1783-09-20'
'20/11/1604', '1604-11-20'
'8/6/48', '1648-08-06'
'25 july 1553', '1553-07-25'
'aug 8 1922', '1922-08-08'
'22 november 1696', '1696-11-22'
'monday 26 may 1783', '1783-05-26'
'1537 13 jun', '1537-06-13'
'13 november 1659', '1659-11-13'
'october 14 1961', '1961-10-14'
'8 march 1917', '1917-03-08'
'12/12/1904', '1904-12-12'
'01/05/1766', '1766-05-01'
'friday 26 june 1592', '1592-06-26'
'wednesday june 8 1836', '1836-06-08'
'29 oct 1989', '1989-10-29'
'february 3 1761', '1761-02-03'
'1745 11 july', '1745-07-11'
'4/3/35', '1535-04-03'
'wednesday 1608 9 04', '1608-04-09'
'november 1 1633', '1633-11-01'
'21 oct 1572', '1572-10-21'
'wednesday 13 august 2036', '2036-08-13'
'february 9 1622', '1622-02-09'
'december 7 1699', '1699-12-07'
'january 16 1730', '1730-01-16'
'aug 26 1850', '1850-08-26'
'monday january 29 1872', '1872-01-29'
'monday 9 november 1761', '1761-11-09'
'august 4 1697', '1697-08-04'
'15 december 1553', '1553-12-15'
'23/07/1860', '1860-07-23'
'aug 5 1820', '1820-08-05'
'march 6 1925', '1925-03-06'
'11 december 1538', '1538-12-11'
'15 august 1572', '1572-08-15'
'1608 15 april', '1608-04-15'
'1639 25 november', '1639-11-25'
'30 september 1761', '1761-09-30'
'october 2 1709', '1709-10-02'
'friday may 21 1683', '1683-05-21'
'feb 22 1669', '1669-02-22'
'29 september 2048', '2048-09-29'
'monday june 20 1667', '1667-06-20'
'28 july 1523', '1523-07-28'
'may 6 1611', '1611-05-06'
'1757 11 september', '1757-09-11'
'sunday 2058 10 03', '2058-03-10'
'january 20 1895', '1895-01-20'
'01/03/1772', '1772-03-01'
'apr 25 1922', '1922-04-25'
'thursday january 17 1799', '1799-01-17'
'02/03/1987', '1987-03-02'
'feb 23 2036', '2036-02-23'
'1625 24 june', '1625-06-24'
'monday 1662 15 05', '1662-05-15'
'18 march 1706', '1706-03-18'
'02/04/1870', '1870-04-02'
'24 march 1722', '1722-03-24'
'dec 31 1656', '1656-12-31'
'29 april 1757', '1757-04-29'
'april 30 1780', '1780-04-30'
'oct 31 1869', '1869-10-31'
'11 may 1558', '1558-05-11'
'7 jan 1555', '1555-01-07'
'19 december 1767', '1767-12-19'
'wed 30 jul 1541', '1541-07-30'
'9 august 1892', '1892-08-09'
'30 december 1666', '1666-12-30'
'friday june 4 1734', '1734-06-04'
'11 october 1760', '1760-10-11'
'tue 1963 24 september', '1963-09-24'
'wednesday march 15 1899', '1899-03-15'
'20/07/2049', '2049-07-20'
'may 23 1923', '1923-05-23'
'jun 17 1577', '1577-06-17'
'july 28 1858', '1858-07-28'
'1805 4 jan', '1805-01-04'
'may 18 1947', '1947-05-18'
'tuesday november 23 1734', '1734-11-23'
'11 december 1765', '1765-12-11'
'saturday 10 may 1524', '1524-05-10'
'september 24 1533', '1533-09-24'
'thursday 18 april 2024', '2024-04-18'
'jan 29 1547', '1547-01-29'
'fri 1897 3 september', '1897-09-03'
'4 april 1789', '1789-04-04'
'september 26 1884', '1884-09-26'
'saturday october 4 1760', '1760-10-04'
'07/05/1900', '1900-05-07'
'13 october 2006', '2006-10-13'
'wednesday april 4 1764', '1764-04-04'
'friday 1707 19 08', '1707-08-19'
'january 3 1581', '1581-01-03'
'monday february 23 1970', '1970-02-23'
'1/10/94', '1994-01-10'
'1615 27 jan', '1615-01-27'
'september 28 1792', '1792-09-28'
'thursday february 12 1778', '1778-02-12'
'15 december 1669', '1669-12-15'
'dec 15 1729', '1729-12-15'
'dec 11 2015', '2015-12-11'
'october 15 2025', '2025-10-15'
'monday september 23 1737', '1737-09-23'
'25 november 1816', '1816-11-25'
'march 6 1619', '1619-03-06'
'jul 31 1842', '1842-07-31'
'1/1/45', '1545-01-01'
'jun 9 1632', '1632-06-09'
'saturday 29 march 1884', '1884-03-29'
'13 july 1727', '1727-07-13'
'march 18 1979', '1979-03-18'
'10/10/54', '1554-10-10'
'1893 18 july', '1893-07-18'
'11 april 1628', '1628-04-11'
'march 2 1903', '1903-03-02'
'november 1 1693', '1693-11-01'
'apr 22 2020', '2020-04-22'
'wednesday august 4 1554', '1554-08-04'
'october 15 1589', '1589-10-15'
'29 january 1695', '1695-01-29'
'march 9 1716', '1716-03-09'
'apr 3 1862', '1862-04-03'
'mon 26 may 1710', '1710-05-26'
'saturday november 3 1551', '1551-11-03'
'28 aug 1696', '1696-08-28'
'sunday 1825 18 09', '1825-09-18'
'dec 19 1851', '1851-12-19'
'oct 22 1908', '1908-10-22'
'tuesday february 23 1543', '1543-02-23'
'february 13 1701', '1701-02-13'
'14/09/1531', '1531-09-14'
'friday 1737 20 12', '1737-12-20'
'tuesday 27 may 2042', '2042-05-27'
'saturday 1837 7 10', '1837-10-07'
'mon 1854 24 april', '1854-04-24'
'oct 17 1838', '1838-10-17'
'11 may 1732', '1732-05-11'
'9 september 1710', '1710-09-09'
'february 3 1899', '1899-02-03'
'september 7 1852', '1852-09-07'
'oct 7 1670', '1670-10-07'
'wednesday january 18 1809', '1809-01-18'
'thursday april 10 1653', '1653-04-10'
'thursday october 28 1819', '1819-10-28'
'4/1/74', '1574-04-01'
'31 jan 1886', '1886-01-31'
'friday 29 july 1639', '1639-07-29'
'6 oct 1638', '1638-10-06'
'jun 4 1894', '1894-06-04'
'14/10/1633', '1633-10-14'
'thu 1716 23 april', '1716-04-23'
'saturday 23 march 1709', '1709-03-23'
'wednesday 1708 21 03', '1708-03-21'
'friday march 26 1593', '1593-03-26'
'apr 8 1897', '1897-04-08'
'sat 1567 7 january', '1567-01-07'
'tuesday 1587 31 03', '1587-03-31'
'12 june 1922', '1922-06-12'
'sat 17 sep 1892', '1892-09-17'
'june 20 1823', '1823-06-20'
'10 february 1844', '1844-02-10'
'3/24/93', '1793-03-24'
'october 17 2047', '2047-10-17'
'12/29/47', '1747-12-29'
'jan 2 1612', '1612-01-02'
'saturday 2016 20 08', '2016-08-20'
'7 jul 1827', '1827-07-07'
'february 4 1667', '1667-02-04'
'27 march 2061', '2061-03-27'
'january 4 1693', '1693-01-04'
'fri 13 apr 1827', '1827-04-13'
'tuesday april 6 1526', '1526-04-06'
'13 january 1802', '1802-01-13'
'saturday january 20 1629', '1629-01-20'
'1890 3 january', '1890-01-03'
'4 april 1925', '1925-04-04'
'april 1 1549', '1549-04-01'
'may 30 1915', '1915-05-30'
'1805 27 august', '1805-08-27'
'27 jun 1579', '1579-06-27'
'nov 24 1600', '1600-11-24'
'jul 19 1770', '1770-07-19'
'4 nov 2026', '2026-11-04'
'27/01/1739', '1739-01-27'
